chrome.fastest-cached.parallel-allmapped-esms-10,chrome.fastest-cached.parallel-allmapped-esms-20,chrome.fastest-cached.parallel-allmapped-esms-30,chrome.fastest-cached.parallel-allmapped-esms-40,chrome.fastest-cached.parallel-allmapped-esms-50,chrome.fastest-cached.parallel-allmapped-esms-60,chrome.fastest-cached.parallel-allmapped-esms-70,chrome.fastest-cached.parallel-allmapped-esms-80,chrome.fastest-cached.parallel-allmapped-esms-90,chrome.fastest-cached.parallel-allmapped-esms-100,chrome.fastest-cached.parallel-allmapped-esms-1000
31.599999994039536,167.70000000298023,175.5,182.20000000298023,190.40000000596046,198.5,205.40000000596046,221.90000000596046,220.79999999701977,227,1338.300000011921
36.20000000298023,162.30000001192093,171.59999999403954,181.5,190.40000000596046,196.09999999403954,203.59999999403954,217.8999999910593,220.80000001192093,218.90000000596046,1084.2000000029802
35.900000005960464,166.30000001192093,177.20000000298023,178.90000000596046,189.90000000596046,199.59999999403954,203.70000000298023,210.40000000596046,223.70000000298023,230.09999999403954,1075.2999999970198
39.79999999701977,165.5,169.6000000089407,180.1000000089407,189.29999999701977,198.90000000596046,204.5,215.59999999403954,218.29999999701977,237.5,1077
44.1000000089407,162.40000000596046,169.6000000089407,179.3999999910593,186.59999999403954,195.69999998807907,206.90000000596046,221.09999999403954,225.6000000089407,227.69999998807907,1075.0999999940395
41,162.8999999910593,170.8999999910593,182.90000000596046,190.6000000089407,192,206.79999999701977,224.5,222.70000000298023,224.8999999910593,1052.5999999940395
35.400000005960464,164.1000000089407,175.29999999701977,178.5,183,196.40000000596046,204,210.6000000089407,224,222.70000000298023,1048.7999999970198
35.70000000298023,163.90000000596046,176.30000001192093,180.8999999910593,187.3999999910593,200.29999999701977,203.3999999910593,217.09999999403954,224.90000000596046,234.29999999701977,1038.5
37.20000000298023,165.20000000298023,173.5,178.70000000298023,187.40000000596046,198.90000000596046,203.20000000298023,229,215.5,229.20000000298023,1163
38.5,168.5,177.6000000089407,180.70000000298023,193.19999998807907,197,205.79999999701977,212.20000000298023,219.1000000089407,230.5,1050.7999999970198
37,167.70000000298023,169.59999999403954,178.09999999403954,187.09999999403954,194,209.09999999403954,217.30000001192093,227.59999999403954,225.6000000089407,1046.2999999970198
36.5,166.8999999910593,174.09999999403954,178.90000000596046,191.29999999701977,196.70000000298023,207.1000000089407,223.3999999910593,221.79999999701977,229.09999999403954,1155.6000000089407
40.20000000298023,166.30000001192093,171.19999998807907,177.3999999910593,187.40000000596046,196.59999999403954,203.59999999403954,226,232.1000000089407,221.8999999910593,1048.1000000089407
36.79999999701977,165.59999999403954,173.80000001192093,177.90000000596046,192.79999999701977,192.70000000298023,201.79999999701977,222.40000000596046,223.8999999910593,229.40000000596046,1132.2000000029802
37.5,164.5,180.19999998807907,180.29999999701977,188.29999999701977,198,203.29999999701977,213.20000000298023,221.1000000089407,216.1000000089407,1035
34,168.90000000596046,176.79999999701977,182.8999999910593,193.79999999701977,203.20000000298023,202.20000000298023,211.5,219.1000000089407,230,1022.2999999970198
33.400000005960464,166.09999999403954,168.90000000596046,182.69999998807907,191.6000000089407,193.70000000298023,201.90000000596046,216.29999999701977,225.1000000089407,232.20000000298023,1012.1000000089407
36.19999998807907,163.20000000298023,169.29999999701977,177.90000000596046,189.70000000298023,192.90000000596046,206.59999999403954,211.8999999910593,224.29999999701977,251.79999999701977,1055.5999999940395
39.69999998807907,169.1000000089407,171,181,183,196.3999999910593,203.59999999403954,210.20000000298023,228.59999999403954,225.90000000596046,1068.4000000059605
36.3999999910593,168,169.29999999701977,178.79999999701977,193,198.70000000298023,209.59999999403954,211.79999999701977,238.29999999701977,236.29999999701977,1068.6000000089407
