chrome.fastest-cached.parallel-allmapped-10,chrome.fastest-cached.parallel-allmapped-20,chrome.fastest-cached.parallel-allmapped-30,chrome.fastest-cached.parallel-allmapped-40,chrome.fastest-cached.parallel-allmapped-50,chrome.fastest-cached.parallel-allmapped-60,chrome.fastest-cached.parallel-allmapped-70,chrome.fastest-cached.parallel-allmapped-80,chrome.fastest-cached.parallel-allmapped-90,chrome.fastest-cached.parallel-allmapped-100,chrome.fastest-cached.parallel-allmapped-1000
33.30000001192093,158,162.90000000596046,172.6000000089407,188.20000000298023,194.29999999701977,192.09999999403954,209.20000000298023,214,214,1300.0999999940395
31.299999997019768,161.3999999910593,162.69999998807907,172.59999999403954,179.70000000298023,190.59999999403954,199.8999999910593,202,210.20000000298023,229.20000000298023,1069.9000000059605
27.600000008940697,157.80000001192093,163.70000000298023,172.09999999403954,184.3999999910593,186.79999999701977,202.5,203.09999999403954,221.29999999701977,228.5,1049.8999999910593
31.5,156.20000000298023,164.79999999701977,172,180.20000000298023,187.59999999403954,193.20000000298023,200,209.29999999701977,221.70000000298023,1063.7000000029802
28,157.29999999701977,169.90000000596046,183.09999999403954,179.09999999403954,185.6000000089407,192.5,205.70000000298023,215.70000000298023,214,1040.199999988079
29,158.70000000298023,164,170.3999999910593,180,193.90000000596046,192,201.79999999701977,212.80000001192093,227.79999999701977,1053.2999999970198
29.299999997019768,157.5,168.70000000298023,171.70000000298023,180.90000000596046,196.6000000089407,197.29999999701977,206.29999999701977,224,219.5,1051.9000000059605
30.899999991059303,156,163.90000000596046,174.69999998807907,179.1000000089407,190,197.09999999403954,206.3999999910593,213.30000001192093,211.69999998807907,1143.7999999970198
29.299999997019768,156.40000000596046,163.3999999910593,172,191.59999999403954,186.79999999701977,194,203.70000000298023,213.80000001192093,225.09999999403954,1032.2000000029802
28.200000002980232,155.79999999701977,163.20000000298023,172.6000000089407,185.70000000298023,188.70000000298023,194.79999999701977,206.29999999701977,221.29999999701977,226.59999999403954,1026.7000000029802
28.899999991059303,161.5,161.5,170,181.5,190.09999999403954,197,206.20000000298023,217.5,225.80000001192093,1010.7999999970198
27.100000008940697,158.59999999403954,164.20000000298023,175.79999999701977,177.29999999701977,190.6000000089407,198,202,214.20000000298023,216.20000000298023,1151.8999999910593
31.599999994039536,159.69999998807907,163.90000000596046,166.5,183.3999999910593,184.69999998807907,194.59999999403954,206.90000000596046,209.19999998807907,228.29999999701977,1002.2000000029802
29.600000008940697,155.8999999910593,167.19999998807907,169.09999999403954,177.1000000089407,182.79999999701977,194.90000000596046,206.59999999403954,214.3999999910593,218.5,994.7000000029802
30.299999997019768,152.6000000089407,173,169.79999999701977,177.19999998807907,191.79999999701977,194.29999999701977,207,220.5,223.30000001192093,988.0999999940395
28.799999997019768,160.90000000596046,167.19999998807907,176.70000000298023,180.20000000298023,190.09999999403954,195.40000000596046,205.09999999403954,213.3999999910593,221.79999999701977,987.6000000089407
22.700000002980232,155.40000000596046,165.29999999701977,175.09999999403954,182.29999999701977,191.1000000089407,198.3999999910593,206,210.70000000298023,226.79999999701977,975.6000000089407
29.899999991059303,157.29999999701977,163.1000000089407,172.70000000298023,182.20000000298023,186.69999998807907,202.40000000596046,199.3999999910593,214,220.5,983.4000000059605
26.599999994039536,155.20000000298023,164.29999999701977,171,181.29999999701977,187.40000000596046,198.70000000298023,204.70000000298023,216.79999999701977,222.70000000298023,961.7999999970198
29.899999991059303,161,162,172.09999999403954,179.59999999403954,185.59999999403954,192.90000000596046,207.59999999403954,212.30000001192093,223.5,973.7999999970198
