chrome.fastest-cached.parallel-mapped-10,chrome.fastest-cached.parallel-mapped-20,chrome.fastest-cached.parallel-mapped-30,chrome.fastest-cached.parallel-mapped-40,chrome.fastest-cached.parallel-mapped-50,chrome.fastest-cached.parallel-mapped-60,chrome.fastest-cached.parallel-mapped-70,chrome.fastest-cached.parallel-mapped-80,chrome.fastest-cached.parallel-mapped-90,chrome.fastest-cached.parallel-mapped-100,chrome.fastest-cached.parallel-mapped-1000
29.200000002980232,303.8999999910593,316.69999998807907,323.20000000298023,485,341,639.7999999970198,527.5,228.09999999403954,230.90000000596046,1260.1000000089407
33.29999999701977,156.5,166.6000000089407,172.6000000089407,178.3999999910593,188.30000001192093,200.19999998807907,205.90000000596046,210.70000000298023,216.29999999701977,1074.6000000089407
30.900000005960464,154.20000000298023,162.5,169.09999999403954,185.6000000089407,185,193.29999999701977,210.20000000298023,211.40000000596046,218.40000000596046,1058.7999999970198
28.600000008940697,158.79999999701977,163.40000000596046,169.70000000298023,176.6000000089407,188.79999999701977,198.30000001192093,208.6000000089407,208.6000000089407,216.09999999403954,1041.2999999970198
31.700000002980232,160.79999999701977,166.20000000298023,172.5,184.40000000596046,185.1000000089407,193.79999999701977,206.5,207.8999999910593,221.1000000089407,1037
27.5,161.90000000596046,163.40000000596046,175.70000000298023,174.79999999701977,182.59999999403954,193.09999999403954,204.5,214,225.90000000596046,1014.1000000089407
30.600000008940697,156.29999999701977,166.19999998807907,171.29999999701977,178.6000000089407,186.5,196.30000001192093,200.90000000596046,215.5,221.69999998807907,1023.5
32.400000005960464,155.09999999403954,164.5,168.40000000596046,177.5,189.90000000596046,192.3999999910593,202.20000000298023,209.59999999403954,216,1023.0999999940395
29.299999997019768,155.5,162.1000000089407,173.1000000089407,176.79999999701977,191.20000000298023,195.1000000089407,211.90000000596046,210.80000001192093,224.29999999701977,997.2000000029802
31.200000002980232,156.30000001192093,163.79999999701977,176.79999999701977,179.80000001192093,186.5,198,200.79999999701977,206.40000000596046,225.29999999701977,999.5
32.70000000298023,154.79999999701977,165.19999998807907,176.09999999403954,182.8999999910593,188,193.59999999403954,202.59999999403954,207.79999999701977,215,999.7000000029802
30.399999991059303,159.70000000298023,160.8999999910593,169.20000000298023,177.20000000298023,184.79999999701977,193.09999999403954,204.70000000298023,209.90000000596046,215.90000000596046,989.8999999910593
30.100000008940697,155.59999999403954,164,169.20000000298023,181.79999999701977,187.29999999701977,194.20000000298023,201.79999999701977,221.20000000298023,216.90000000596046,986
25.700000002980232,160.29999999701977,162.6000000089407,172.5,179.5,184.09999999403954,197.40000000596046,211.80000001192093,214.90000000596046,219.90000000596046,991.6000000089407
30.900000005960464,158.79999999701977,164.30000001192093,168.40000000596046,176.79999999701977,187,189.6000000089407,201.29999999701977,210.70000000298023,217.59999999403954,975.7999999970198
31.200000002980232,154.79999999701977,166,170.30000001192093,177.79999999701977,186.80000001192093,199.79999999701977,202.79999999701977,211,218.29999999701977,982.3999999910593
28.099999994039536,156,161.69999998807907,168.69999998807907,175,189.6000000089407,197.1000000089407,200.20000000298023,213.20000000298023,215.29999999701977,970.4000000059605
30.700000002980232,159,162.09999999403954,171,177.5,185.70000000298023,194.90000000596046,198.40000000596046,212.20000000298023,216.20000000298023,972.5
29.5,157.90000000596046,160.59999999403954,167.8999999910593,181.90000000596046,192.20000000298023,192.29999999701977,211.1000000089407,212,225.59999999403954,965.2000000029802
31.600000008940697,157.40000000596046,162.8999999910593,170.6000000089407,179.19999998807907,182.90000000596046,194.29999999701977,202.70000000298023,217.79999999701977,221.3999999910593,973.8000000119209
