chrome.slow.parallel-mapped-10,chrome.slow.parallel-mapped-20,chrome.slow.parallel-mapped-30,chrome.slow.parallel-mapped-40,chrome.slow.parallel-mapped-50,chrome.slow.parallel-mapped-60,chrome.slow.parallel-mapped-70,chrome.slow.parallel-mapped-80,chrome.slow.parallel-mapped-90,chrome.slow.parallel-mapped-100
138.3999999910593,216.6000000089407,230.29999999701977,242.40000000596046,241.40000000596046,258.5,247.5,231.29999999701977,252.5,232.5
158.20000000298023,221,240.40000000596046,216.70000000298023,227.1000000089407,258.40000000596046,247.90000000596046,272.1000000089407,240.90000000596046,215.5
166.59999999403954,232.20000000298023,210.20000000298023,238.79999999701977,227.70000000298023,246.70000000298023,248.30000001192093,248.79999999701977,261.90000000596046,253.20000000298023
166.09999999403954,234.29999999701977,238.3999999910593,234.90000000596046,229.79999999701977,252.19999998807907,249,239,278.5,249.59999999403954
135.90000000596046,249.29999999701977,214.40000000596046,237.79999999701977,233.69999998807907,229.70000000298023,270,230.29999999701977,279.30000001192093,256.90000000596046
137.30000001192093,220.09999999403954,245.20000000298023,224.59999999403954,226,252.29999999701977,244.09999999403954,280.5,249.6000000089407,217.40000000596046
169,245.70000000298023,233.3999999910593,227.69999998807907,242.30000001192093,243.59999999403954,247.20000000298023,271.59999999403954,249.79999999701977,229.79999999701977
165.6000000089407,211.59999999403954,255.29999999701977,226.40000000596046,242.6000000089407,238.40000000596046,244.20000000298023,269,266.3999999910593,222.29999999701977
180.19999998807907,234.79999999701977,234.29999999701977,226.79999999701977,248.8999999910593,221.40000000596046,255.70000000298023,257.59999999403954,237.90000000596046,241.8999999910593
149.59999999403954,250.5,219,225.20000000298023,231.29999999701977,235.5,261.19999998807907,224,279.70000000298023,226.5
163.29999999701977,233.19999998807907,233.20000000298023,225,226.5,251.20000000298023,243.5,270.70000000298023,243.29999999701977,258.29999999701977
155.40000000596046,218,237.8999999910593,241.70000000298023,247.79999999701977,218.29999999701977,239.70000000298023,261.09999999403954,263.09999999403954,225.59999999403954
152.29999999701977,230.79999999701977,233.90000000596046,219.5,253.79999999701977,250.29999999701977,246,245,256.09999999403954,244.09999999403954
148.70000000298023,249.70000000298023,212.40000000596046,217.40000000596046,249.1000000089407,236.5,245.5,228.70000000298023,241.70000000298023,266.19999998807907
151.69999998807907,210.79999999701977,237.40000000596046,226.29999999701977,230.79999999701977,248.8999999910593,250.6000000089407,240.20000000298023,263.90000000596046,249.6000000089407
152.6000000089407,235.29999999701977,227.79999999701977,223,246.09999999403954,237.6000000089407,244.79999999701977,244.1000000089407,256.5,250.5
153.80000001192093,232.8999999910593,229.69999998807907,219.3999999910593,251.5,216.79999999701977,251.79999999701977,258.3999999910593,237,240
154.29999999701977,228.29999999701977,242,219.29999999701977,244.6000000089407,219.29999999701977,251.70000000298023,263.09999999403954,242,223.5
181.90000000596046,237,231.1000000089407,226.40000000596046,228.70000000298023,247.40000000596046,241.59999999403954,260.70000000298023,250,250.6000000089407
154.69999998807907,218.09999999403954,234.90000000596046,242.80000001192093,235.20000000298023,212,253.59999999403954,242,251.79999999701977,239.69999998807907
