firefox.fastest-cached.parallel-allmapped-esms-10,firefox.fastest-cached.parallel-allmapped-esms-20,firefox.fastest-cached.parallel-allmapped-esms-30,firefox.fastest-cached.parallel-allmapped-esms-40,firefox.fastest-cached.parallel-allmapped-esms-50,firefox.fastest-cached.parallel-allmapped-esms-60,firefox.fastest-cached.parallel-allmapped-esms-70,firefox.fastest-cached.parallel-allmapped-esms-80,firefox.fastest-cached.parallel-allmapped-esms-90,firefox.fastest-cached.parallel-allmapped-esms-100,firefox.fastest-cached.parallel-allmapped-esms-1000
46,68,102,104,122,154,253,182,187,212,1844
46,64,136,108,126,149,162,181,203,219,2051
67,64,87,103,133,152,165,183,195,222,2003
211,68,86,106,120,139,183,187,194,223,1891
47,68,103,108,123,151,266,182,217,206,1885
44,80,84,106,123,147,151,187,193,211,2052
98,71,118,115,168,137,163,185,197,224,1952
212,77,90,112,153,145,162,185,199,220,1890
45,68,100,109,124,163,263,186,198,218,1896
46,83,93,111,125,186,163,182,191,221,2058
67,70,104,111,128,179,162,189,198,221,1999
205,69,90,107,132,156,158,184,193,219,1919
49,69,114,109,129,168,265,184,195,221,1897
48,83,91,110,132,180,163,185,197,222,2060
63,69,91,111,125,173,159,174,196,221,2008
210,68,88,107,126,150,161,172,195,219,1910
47,82,91,111,125,183,261,182,191,215,1909
50,91,90,112,130,188,165,180,195,219,2072
69,71,91,111,129,137,162,176,200,220,2004
213,68,87,110,125,148,160,171,192,216,1926
