firefox.fastest-cached.parallel-mapped-esms-10,firefox.fastest-cached.parallel-mapped-esms-20,firefox.fastest-cached.parallel-mapped-esms-30,firefox.fastest-cached.parallel-mapped-esms-40,firefox.fastest-cached.parallel-mapped-esms-50,firefox.fastest-cached.parallel-mapped-esms-60,firefox.fastest-cached.parallel-mapped-esms-70,firefox.fastest-cached.parallel-mapped-esms-80,firefox.fastest-cached.parallel-mapped-esms-90,firefox.fastest-cached.parallel-mapped-esms-100,firefox.fastest-cached.parallel-mapped-esms-1000
43,65,86,118,122,134,255,183,183,206,1842
44,66,99,126,130,149,184,179,194,217,2059
45,69,85,119,121,140,168,176,203,211,1995
212,67,82,104,121,153,158,178,198,219,1891
48,66,87,117,125,143,262,183,189,212,1890
45,67,102,108,124,145,151,177,201,212,1973
45,74,94,142,151,205,170,179,203,225,1949
205,68,86,110,113,144,163,173,194,220,1879
53,72,88,121,127,176,263,177,190,219,1871
45,68,102,106,125,165,160,173,204,214,1996
49,68,92,120,125,146,171,172,203,212,1981
199,70,90,108,124,133,163,172,193,219,1926
46,71,92,124,125,170,265,178,190,214,1911
46,68,106,109,138,188,150,178,196,219,2041
48,76,92,125,129,170,171,178,202,211,1971
207,66,100,107,128,145,163,178,199,217,1894
45,77,88,124,128,169,265,184,191,217,1911
59,66,101,108,126,174,159,176,197,218,2056
44,65,84,119,124,170,166,176,201,213,1960
205,67,86,106,122,175,170,181,195,219,1902
