firefox.fastest-cached.parallel-10,firefox.fastest-cached.parallel-20,firefox.fastest-cached.parallel-30,firefox.fastest-cached.parallel-40,firefox.fastest-cached.parallel-50,firefox.fastest-cached.parallel-60,firefox.fastest-cached.parallel-70,firefox.fastest-cached.parallel-80,firefox.fastest-cached.parallel-90,firefox.fastest-cached.parallel-100,firefox.fastest-cached.parallel-1000
25,44,55,76,88,101,114,128,138,145,1301
24,43,55,77,90,111,114,127,138,150,1281
25,41,55,75,88,103,131,129,144,155,1412
24,43,58,79,91,102,115,131,144,161,1330
25,45,64,80,93,108,123,126,148,162,1334
29,41,60,76,88,102,122,126,145,159,1359
25,43,57,79,89,106,122,134,142,154,1341
27,49,64,73,113,110,118,130,148,163,1366
25,41,56,69,91,103,126,121,150,147,1295
26,44,54,80,93,115,122,133,139,156,1344
24,47,63,76,89,105,118,129,151,153,1380
32,44,59,76,93,104,115,127,141,156,1279
29,47,73,79,97,106,129,134,142,150,1381
24,41,64,88,92,115,119,130,143,153,1424
27,45,62,75,89,107,120,129,145,158,1395
26,40,58,76,92,104,120,133,144,212,1355
24,39,66,77,91,111,119,132,148,158,1333
26,45,56,87,91,107,121,131,149,153,1425
24,40,60,79,93,119,121,133,142,154,1328
25,41,127,74,92,103,132,129,146,149,1349
